99840	2006	2	8	18	134	7.8
99840	2006	2	9	0	139	7.4
99840	2006	2	9	6	120	10.6
99840	2006	2	9	12	136	9.9
99840	2006	2	9	18	139	8.6
99840	2006	2	10	0	115	6.4
99840	2006	2	10	6	105	7.3
99840	2006	2	10	12	126	3.5
99840	2006	2	10	18	114	4.2
99840	2006	2	11	0	110	6.2
99840	2006	2	11	6	129	10.2
99840	2006	2	11	12	148	10.0
99840	2006	2	11	18	116	5.5
99840	2006	2	12	0	124	6.2
99840	2006	2	12	6	266	2.7
99840	2006	2	12	12	241	9.8
99840	2006	2	12	18	319	4.3
99840	2006	2	13	0	315	6.7
99840	2006	2	13	6	297	5.9
99840	2006	2	13	12	-	x
99840	2006	2	13	18	302	7.5
99840	2006	2	14	0	328	8.2
99840	2006	2	14	6	2	5.0
99840	2006	2	14	12	119	3.6
99840	2006	2	14	18	127	5.6
99840	2006	2	15	0	114	5.3
99840	2006	2	15	6	120	4.7
99840	2006	2	15	12	115	6.0
99840	2006	2	15	18	124	6.6
99840	2006	2	16	0	105	7.0
99840	2006	2	16	6	100	7.3
99840	2006	2	16	12	111	8.5
99840	2006	2	16	18	111	7.0
99840	2006	2	17	0	112	6.5
99840	2006	2	17	6	114	6.6
99840	2006	2	17	12	109	7.6
99840	2006	2	17	18	119	6.2
99840	2006	2	18	0	118	6.7
99840	2006	2	18	6	116	5.9
99840	2006	2	18	12	-	x
99840	2006	2	18	18	123	5.0
99840	2006	2	19	0	173	0.5
99840	2006	2	19	6	104	1.4
99840	2006	2	19	12	140	0.9
99840	2006	2	19	18	109	3.1
99840	2006	2	20	0	120	1.1
99840	2006	2	20	6	199	10.4
99840	2006	2	20	12	199	7.7
99840	2006	2	20	18	218	4.3
99840	2006	2	21	0	223	6.0
99840	2006	2	21	6	184	3.0
99840	2006	2	21	12	190	3.4
99840	2006	2	21	18	174	3.2
99840	2006	2	22	0	189	6.7
99840	2006	2	22	6	246	16.3
99840	2006	2	22	12	324	15.9
99840	2006	2	22	18	317	10.0
99840	2006	2	23	0	294	9.9
99840	2006	2	23	6	230	7.7
99840	2006	2	23	12	311	3.6
99840	2006	2	23	18	336	11.3
99840	2006	2	24	0	346	5.8
99840	2006	2	24	6	358	7.0
99840	2006	2	24	12	331	7.1
99840	2006	2	24	18	327	7.5
99840	2006	2	25	0	292	9.9
99840	2006	2	25	6	297	11.6
99840	2006	2	25	12	294	10.5
99840	2006	2	25	18	303	12.2
99840	2006	2	26	0	329	11.5
99840	2006	2	26	6	336	8.4
99840	2006	2	26	12	348	6.1
99840	2006	2	26	18	351	9.5
99840	2006	2	27	0	59	4.3
99840	2006	2	27	6	115	2.2
99840	2006	2	27	12	146	2.5
99840	2006	2	27	18	38	10.1
