0 0 0 0 0 0 0 0
       
-13.2 78.5 2012 1 17 14 -1.3297 34.174
-13.2 78.5 2012 1 17 15 -1.3306 34.174
-13.2 78.5 2012 1 17 16 -1.3299 34.174
-13.2 78.5 2012 1 17 17 -1.3239 34.175
-13.2 78.5 2012 1 17 18 -1.3222 34.176
-13.2 78.5 2012 1 17 19 -1.3198 34.177
-13.2 78.5 2012 1 17 20 -1.3155 34.179
-13.2 78.5 2012 1 17 21 -1.314 34.179
-13.2 78.5 2012 1 17 22 -1.3084 34.181
-13.2 78.5 2012 1 17 23 -1.3092 34.181
-13.2 78.5 2012 1 17 24 -1.3078 34.181
-13.2 78.5 2012 1 17 25 -1.3075 34.182
-13.2 78.5 2012 1 17 26 -1.3063 34.182
-13.2 78.5 2012 1 17 27 -1.3039 34.183
-13.2 78.5 2012 1 17 28 -1.2999 34.184
-13.2 78.5 2012 1 17 29 -1.2968 34.187
-13.2 78.5 2012 1 17 30 -1.2968 34.188
-13.2 78.5 2012 1 17 31 -1.2964 34.19
-13.2 78.5 2012 1 17 32 -1.2961 34.191
-13.2 78.5 2012 1 17 33 -1.2956 34.192
-13.2 78.5 2012 1 17 34 -1.294 34.194
-13.2 78.5 2012 1 17 35 -1.2928 34.194
-13.2 78.5 2012 1 17 36 -1.2917 34.195
-13.2 78.5 2012 1 17 37 -1.2917 34.195
-13.2 78.5 2012 1 17 38 -1.2891 34.196
-13.2 78.5 2012 1 17 39 -1.2883 34.196
-13.2 78.5 2012 1 17 40 -1.2881 34.196
-13.2 78.5 2012 1 17 41 -1.2863 34.197
-13.2 78.5 2012 1 17 42 -1.2864 34.197
-13.2 78.5 2012 1 17 43 -1.2807 34.199
-13.2 78.5 2012 1 17 44 -1.273 34.202
-13.2 78.5 2012 1 17 45 -1.2697 34.202
-13.2 78.5 2012 1 17 46 -1.2712 34.203
-13.2 78.5 2012 1 17 47 -1.2717 34.203
-13.2 78.5 2012 1 17 48 -1.2719 34.203
-13.2 78.5 2012 1 17 49 -1.2719 34.203
-13.2 78.5 2012 1 17 50 -1.2732 34.202
-13.2 78.5 2012 1 17 51 -1.2729 34.203
-13.2 78.5 2012 1 17 52 -1.2694 34.203
-13.2 78.5 2012 1 17 53 -1.267 34.204
-13.2 78.5 2012 1 17 54 -1.2623 34.205
-13.2 78.5 2012 1 17 55 -1.2511 34.207
-13.2 78.5 2012 1 17 56 -1.2412 34.21
-13.2 78.5 2012 1 17 57 -1.2294 34.213
-13.2 78.5 2012 1 17 58 -1.2213 34.215
-13.2 78.5 2012 1 17 59 -1.218 34.215
-13.2 78.5 2012 1 17 60 -1.2138 34.216
-13.2 78.5 2012 1 17 61 -1.2073 34.216
-13.2 78.5 2012 1 17 62 -1.1978 34.217
-13.2 78.5 2012 1 17 63 -1.1915 34.218
-13.2 78.5 2012 1 17 64 -1.1894 34.219
-13.2 78.5 2012 1 17 65 -1.1893 34.22
-13.2 78.5 2012 1 17 66 -1.1892 34.22
-13.2 78.5 2012 1 17 67 -1.1893 34.22
-13.2 78.5 2012 1 17 68 -1.1872 34.221
-13.2 78.5 2012 1 17 69 -1.1845 34.221
-13.2 78.5 2012 1 17 70 -1.1834 34.222
-13.2 78.5 2012 1 17 NaN -1.1829 34.222
-13.2 78.5 2012 1 17 NaN -1.1901 34.223
-13.2 78.5 2012 1 17 NaN -1.2062 34.223
-13.2 78.5 2012 1 17 NaN -1.2147 34.224
-13.2 78.5 2012 1 17 NaN -1.2147 34.224
-13.2 78.5 2012 1 17 NaN -1.2148 34.224
